# Logfile created on 2026-03-29 21:52:24 +0200 by logger.rb/v1.6.4
2026-03-29 21:52:24 +0200: Memory Usage (368164K) : Starting running IHP-SG13CMOS5L KLayout DRC runset on /home/syndace/Projects/OpenROAD-flow-scripts/flow/results/ihp-sg13cmos5l/prjleisurecruise/base/6_final.gds
2026-03-29 21:52:24 +0200: Memory Usage (368164K) : Ruby Version for klayout: 3.4.8
2026-03-29 21:52:24 +0200: Memory Usage (458468K) : Loading database to memory is complete.
2026-03-29 21:52:24 +0200: Memory Usage (458468K) : IHP-SG13CMOS5L KLayout DRC runset output at: /home/syndace/Projects/OpenROAD-flow-scripts/drc_run_LeisureCruiseHarness/6_final_LeisureCruiseHarness_forbidden.lyrdb
2026-03-29 21:52:24 +0200: Memory Usage (458720K) : Evaluate switches.
2026-03-29 21:52:24 +0200: Memory Usage (458720K) : tables selected: forbidden
2026-03-29 21:52:24 +0200: Memory Usage (458720K) : KLayout will use 8 thread(s) in tiled mode.
2026-03-29 21:52:24 +0200: Memory Usage (458720K) : deep mode is enabled.
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : nwell_drw has 226877 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : nwell_pin has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : nbulay_drw has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : nbulay_pin has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : nbulay_block has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : emwind_drw has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : emwind_opc has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : deepco_drw has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : deepco_drw has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : mim_drw has 0 polygons
2026-03-29 21:52:29 +0200: Memory Usage (487088K) : edgeseal_drw has 24 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : edgeseal_bound has 1 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : substrate_drw has 966 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : substrate_text has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : dfpad_drw has 32 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : dfpad_pillar has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : dfpad_sbump has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : thickgateox_drw has 64 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : pldb_drw has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : pwell_drw has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : pwell_pin has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : pwell_block has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : ic_drw has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : via3_drw has 423079 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : metal4_drw has 46129 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : metal4_pin has 1492 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : metal4_mask has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : metal4_filler has 0 polygons
2026-03-29 21:52:30 +0200: Memory Usage (487088K) : metal4_nofill has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_slit has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_text has 1409 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_opc has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_noqrc has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_res has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_iprobe has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal4_diffprb has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : heattrans_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : heatres_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : pempoly_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : fbe_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : empoly_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : ldmos_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : pbiwind_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : digisub_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : nodrc_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : text_drw has 800794 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : via4_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_pin has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_mask has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_filler has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_nofill has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_slit has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_text has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_opc has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_noqrc has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_res has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_iprobe has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : metal5_diffprb has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : radhard_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : memcap_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : varicap_drw has 0 polygons
2026-03-29 21:52:31 +0200: Memory Usage (487088K) : flash_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : intbondvia_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : intbondmet_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : devbondvia_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : devbondmet_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : devtrench_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : redist_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : graphbot_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : graphtop_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : antvia1_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : antmetal2_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : graphcont_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : siwg_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : siwg_filler has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : siwg_nofill has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : sigrating_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : singrating_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : graphpas_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : emwind3_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : emwihv3_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : redbulay_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : smos_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : graphpad_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : polimide_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : polimide_pin has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_drw has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_pin has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_esd has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_diode has 350 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_tsv has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_iprobe has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_diffprb has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_pillar has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_sbump has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_otp has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_pdiode has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_mom has 0 polygons
2026-03-29 21:52:32 +0200: Memory Usage (487088K) : recog_pcm has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : colopen_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmetal1_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmetal1_filler has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmetal1_nofill has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmetal1_slit has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmetal1_opc has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmet1l_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmet1l_filler has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmet1l_nofill has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmet1l_slit has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphmet1l_opc has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : extblock_drw has 20 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : nldd_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : pldd_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : next_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : pext_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : nexthv_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : pexthv_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : graphgate_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : sinwg_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : sinwg_filler has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : sinwg_nofill has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : mempad_drw has 0 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : topvia1_drw has 152344 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : topmetal1_drw has 3670 polygons
2026-03-29 21:52:33 +0200: Memory Usage (487088K) : topmetal1_pin has 888 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_mask has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_filler has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_nofill has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_slit has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_text has 714 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_noqrc has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_res has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_iprobe has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal1_diffprb has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : inldpwl_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : polyres_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : polyres_pin has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : vmim_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : nbulaycut_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : antmetal1_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topvia2_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_pin has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_mask has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_filler has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_nofill has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_slit has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_text has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_noqrc has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_res has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_iprobe has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : topmetal2_diffprb has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : snsring_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : sensor_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : snsarms_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : snscmosvia_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : colwind_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : flm_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : hafniumox_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : memvia_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : thinfilmres_drw has 0 polygons
2026-03-29 21:52:34 +0200: Memory Usage (487088K) : rfmem_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2m3 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2m4 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2m5 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2tm1 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2tm2 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m3m4 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m3m5 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m3tm1 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m3tm2 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m4m5 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m4tm1 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m4tm2 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m5tm1 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m5tm2 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_tm1tm2 has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m1sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m2sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m3sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m4sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_m5sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_tm1sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : norcx_tm2sub has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : snsbotvia_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : snstopvia_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : deepvia_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : fgetch_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : ctrgat_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : fgimp_drw has 0 polygons
2026-03-29 21:52:35 +0200: Memory Usage (487088K) : emwihv_drw has 0 polygons
